area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,4,0,38,12.9176571,77.4837568
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,2,3,64.5,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,3,2,103,13.1351506,77.7471989
Super built-up  Area,18-Oct,Bommasandra,2 BHK,DSoodil,1060,2,1,26.5,13.0544346,77.5593269
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJarkte,1105,2,1,75,12.9173303,77.667161
Built-up  Area,Ready To Move,Hoodi,2 BHK,Dhgraas,985,3,1,67,12.9959233,77.7192796
Super built-up  Area,17-Jul,Balagere,3 BHK,HiqueMa,1590,2,2,79,12.9377243,77.7280705
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1120,2,1,55,12.9850987,77.6631173
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069,2,2,55,12.979363,77.7907328
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1933,4,1,140,12.9552572,77.6984163
Built-up  Area,16-Mar,Hosur Road,2 BHK,PuendWe,1194,3,2,69,12.9193621,77.6214458
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Danna S,1150,3,1,69,12.9652094,77.717936
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,1,2,48.1,12.932582,77.5162034
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Bltonin,2150,2,1,240,12.963555,77.6015856
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,MSanaer,1450,2,2,55,12.931045,77.6098888
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,708,2,2,40,12.7467724,77.7742876
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,1250,2,2,76,12.9361208,77.6671843
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400,1,3,95,12.9136133,77.595695
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750,3,0,100,13.0261316,77.7664705
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2,1,71,12.8654221,77.6295788
Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1715,3,1,95,12.9959233,77.7192796
Built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630,2,2,34.65,12.8487599,77.648253
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,2,2,135,12.9058923,77.675465
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,4,1,55.47,12.932582,77.5162034
Plot  Area,Ready To Move,Giri Nagar,3 BHK,Bancyri,1800,2,1,252,12.9168572,77.5860216
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,1346,3,1,74.03,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Hormavu,2 BHK,ElavuHo,1150,9,1,55,13.016672,77.6548126
Built-up  Area,Ready To Move,Chikkabidarakallu,4 BHK,Gontyol,3309,3,0,325,13.0523616,77.4879154
Super built-up  Area,18-May,Chandapura,3 BHK,SunceEs,1190,2,2,30.35,12.8009043,77.7114908
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,DSutyng,1620,2,2,98,13.0311884,77.5753526
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,2450,2,2,120,12.9058923,77.675465
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1220,2,3,35.23,12.8463512,77.6690975
Super built-up  Area,Ready To Move,Defence Colony,2 BHK,Vantspa,1150,2,3,126,12.976171,77.6435315
Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1760,2,1,130,13.0382184,77.5919
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Prowsi ,900,2,1,40,13.0688336,77.6034132
Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,1130,4,1,42.16,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,5,1,165,12.9357366,77.624081
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,3,1,50.17,12.8963963,77.5377864
Built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,LiaveEn,1150,7,1,260,13.0360109,77.5695288
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 BHK,Bemesrm,1200,2,1,190,13.0255533,77.6313982
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Vrensn ,1130,3,1,60,13.0514799,77.5933559
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,VDdonel,1753,2,1,120,13.0930374,77.6002443
Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,Brica E,4500,2,1,337,13.0082277,77.6941931
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1196,2,3,94.42,12.9959233,77.7192796
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Prenty ,1150,2,2,52.5,12.91241,77.591056
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,2,63,12.8487599,77.648253
Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,Shinei ,1000,3,1,53,12.89,77.5973052
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Apows M,1035,3,1,45,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SVineun,1040,2,1,48.5,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1511,2,1,95,13.0026688,77.4915418
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1545,2,1,68.75,12.9959233,77.7192796
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,DSvvyx ,1000,5,2,35,12.9096941,77.5866067
Super built-up  Area,17-May,Kambipura,2 BHK,Prrtht ,883,2,1,45,12.882271,77.4606466
Super built-up  Area,19-Apr,Sarjapur  Road,2 BHK,Brareio,1195,3,1,70,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2,1,67,12.8654221,77.6295788
Super built-up  Area,18-Dec,Haralur Road,4 BHK,SNnia E,2805,6,2,154,12.9018012,77.6641767
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599,3,1,125,12.8487599,77.648253
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SuMTBPr,1150,2,1,70,12.9963995,77.7614229
Super built-up  Area,17-Dec,Jakkur,4 BHK,Lecco C,5230,2,2,465,13.0784743,77.6068938
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Jahidva,1155,2,0,42.74,13.007516,77.695935
Built-up  Area,Ready To Move,Rajiv Nagar,3 BHK,PuoodSk,1867,2,2,160,13.0189644,77.5443026
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,ViistLa,1251,4,2,47,12.9558969,77.7405826
Super built-up  Area,18-Apr,Gattahalli,2 BHK,Arano M,1028,2,2,45.5,12.8685628,77.7026913
Super built-up  Area,Ready To Move,Arekere,2 BHK,Amngsag,1222,2,1,45,12.8872086,77.5960493
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1170,9,1,66,12.9504037,77.6033713
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Kacesh ,2400,2,1,245,13.0382184,77.5919
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,1372,2,1,68,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Magadi Road,3 BHK,Bilya A,1282,3,1,49,12.975608,77.5553564
Super built-up  Area,Ready To Move,Mico Layout,9 BHK,Amsomun,5000,2,1,210,12.9128289,77.6028358
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shdhia ,1135,2,1,39.73,12.8856913,77.5526564
Built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Foconna,1325,5,3,90,13.0666526,77.591967
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599,2,2,99,12.8487599,77.648253
Super built-up  Area,Ready To Move,K G Colony,3 BHK,Aincy R,1600,2,3,50,13.0127447,77.6619543
Super built-up  Area,18-Sep,Hennur Road,2 BHK,Shxorm ,1317.5,1,2,63.77,13.0351224,77.631944
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Brium C,3450,2,1,260,13.0382184,77.5919
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Sahanra,1350,1,1,54,13.1006982,77.5963454
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,3,2,27.25,12.8856913,77.5526564
Built-up  Area,Ready To Move,Attibele,2 BHK,Jae 2hu,656,2,2,25,12.7751249,77.7709216
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,1056,3,2,80,13.0255533,77.6313982
Super built-up  Area,21-Feb,Bannerghatta Road,1 BHK,Hiatei ,595,3,1,33.32,12.9504037,77.6033713
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,Puarero,2225,3,1,160,12.9136133,77.595695
Super built-up  Area,18-Aug,Bommasandra,2 BHK,DSoodil,1126,4,1,28.15,13.0544346,77.5593269
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490,3,2,84,12.8401734,77.6595099
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,PuineSu,1550,2,2,100,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Grare S,1600,4,2,86,12.9963995,77.7614229
Built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,PrOakSi,4144,2,2,315,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,Supleon,2100,2,2,125,12.8654221,77.6295788
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Prlla C,1404,1,2,69.3,12.9239386,77.6396966
Super built-up  Area,18-May,Marathahalli,3 BHK,Pridsi ,1305,3,1,58.7,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Aahts H,1230,2,1,80,13.016672,77.6548126
Super built-up  Area,19-Dec,Whitefield,1 BHK,Kolisl ,715,2,1,46,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Toindls,2500,2,1,313,13.0080094,77.6833497
Super built-up  Area,Ready To Move,Jigani,3 BHK,Puceswn,1578,2,1,180,12.7756195,77.6324661
Super built-up  Area,Ready To Move,Koramangala,2 BHK,i1odsne,1020,3,1,40,12.9357366,77.624081
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,Ansna K,1253,2,2,102,12.933134,77.7043284
Super built-up  Area,Ready To Move,Nehru Nagar,2 BHK,ARnamru,1180,3,2,42,12.9869634,77.5755584
Super built-up  Area,Ready To Move,Harlur,2 BHK,Veyalin,961,3,1,38,12.9058923,77.675465
Super built-up  Area,Ready To Move,Sneha Colony,3 BHK,SomonCi,1709,2,3,150,13.00975,77.6568
Super built-up  Area,Ready To Move,RMV Extension,2 BHK,Daill S,1260,3,3,45,13.0356488,77.574775
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,DSureSi,1630,1,1,85,12.9239386,77.6396966
Super built-up  Area,19-May,Kalena Agrahara,3 BHK,Soini T,1249,2,2,44.71,12.8658068,77.5911918
Super built-up  Area,Ready To Move,Konanakunte,3 BHK,MancyRe,1450,2,2,85,12.8792861,77.5697529
Super built-up  Area,17-Nov,Ashwini layout,3 BHK,Prasa W,2791,2,2,223,12.9396583,77.6288969
Built-up  Area,Ready To Move,Gottigere,1 BHK,Kaantth,834,2,0,60,12.8565317,77.5877237
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Drente ,891,3,3,25,12.932582,77.5162034
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Prityel,1075,1,3,37,12.932582,77.5162034
Super built-up  Area,Ready To Move,Hebbal,2 BHK,SGandea,1090,3,2,42,13.0382184,77.5919
Super built-up  Area,18-Dec,HRBR Layout,3 BHK,Mahosya,1920,3,2,134,13.0204703,77.6241642
Built-up  Area,Ready To Move,Kanakapura,2 BHK,Eline P,1374,2,1,95,12.875978,77.5441292
Super built-up  Area,19-Dec,Tumkur Road,1 BHK,GoityEt,711,3,1,36,13.0184718,77.5577542
Super built-up  Area,Ready To Move,Whitefield,3 BHK,SosonGa,1500,3,1,95,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,Gotis A,1720,2,1,100,12.9466619,77.5300896
Super built-up  Area,Ready To Move,Hosahalli,2 BHK,PrntaEn,1200,1,2,85,12.9690686,77.5427797
Carpet  Area,18-Jul,Jalahalli,3 BHK,NSezeBr,1375,4,2,70,13.0394104,77.5197351
Super built-up  Area,Ready To Move,Bellandur,3 BHK,Tahtsla,2250,2,1,160,12.9361208,77.6671843
Super built-up  Area,Ready To Move,Jalahalli West,2 BHK,Sronda ,1000,2,0,50,13.0533332,77.5306036
Super built-up  Area,Ready To Move,Marathahalli,1 BHK,Prntsax,469,5,1,25,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Kambipura,4 BHK,PueraRi,3800,1,1,250,12.882271,77.4606466
Super built-up  Area,Ready To Move,GM Palaya,2 BHK,Prrtht ,883,3,2,29,12.974779,77.6654084
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Chnts A,1820,2,2,86,13.0027353,77.5703253
Built-up  Area,Ready To Move,Jalahalli East,4 BHK,GaityEt,2500,3,2,325,13.0578317,77.5462216
Super built-up  Area,Ready To Move,Hosakerehalli,1 BHK,ShshaSa,750,2,0,40,12.9301881,77.5378332
Super built-up  Area,Ready To Move,Sarjapur,3 BHK,Taonte ,2378,3,3,262,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Ahownve,1128,5,2,60,13.0382184,77.5919
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Cevely ,1500,3,2,150,12.8856913,77.5526564
Super built-up  Area,20-Oct,Bommasandra,3 BHK,PrarePa,1100,2,1,58,13.0544346,77.5593269
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Vaodspe,1200,2,1,46,12.9018012,77.6641767
Built-up  Area,18-Mar,Nagondanahalli,4 BHK,SNnia E,3385,2,2,260,12.97516,77.7703403
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,DSldsen,1641,2,3,66,12.932582,77.5162034
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,NaonySy,1260,3,2,67.39,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,1132.5,2,1,48.13,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Prityel,1075,4,1,45,13.054713,77.6339258
Built-up  Area,Ready To Move,Shanthala Nagar,3 BHK,Soitya ,1702,3,1,130,12.9714173,77.5994394
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Malex C,1630,3,1,200,12.932582,77.5162034
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,GrrvaGr,1141,3,2,38.55,12.9096941,77.5866067
Built-up  Area,18-Mar,Yelahanka,4 BHK,Toainnt,4046,3,1,445,13.1006982,77.5963454
Built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,Edreelm,35000,3,2,130,12.9708334,77.6951966
Super built-up  Area,Ready To Move,Brookefield,3 BHK,RMcesa ,1875,4,3,165,12.9652094,77.717936
Plot  Area,Ready To Move,Whitefield,3 BHK,Krreera,1200,3,2,140,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Lingadheeranahalli,2 BHK,PaantPl,1140,2,2,56,13.0026688,77.4915418
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Soiewre,1683,3,2,109,12.9846713,77.6790908
Super built-up  Area,Ready To Move,Hoodi,3 BHK,Golmsoy,1515,2,1,83.3,12.9959233,77.7192796
Super built-up  Area,19-Dec,Avalahalli,4 BHK,Caycend,2118,2,1,111,12.9437456,77.5402044
Built-up  Area,Ready To Move,Prakruthi Nagar,3 BHK,Sohea A,2300,2,1,120,13.0978966,77.6157367
Super built-up  Area,Ready To Move,Surabhi Layout,2 BHK,MSvelek,1240,2,2,60,13.0930374,77.6002443
Super built-up  Area,Ready To Move,Abbigere,3 BHK,VDdonel,1750,2,2,120,13.0742739,77.5288653
Super built-up  Area,Ready To Move,Tindlu,2 BHK,SLtias ,985,2,1,40.39,13.2338969,77.5947061
Plot  Area,Ready To Move,Maruthi Sevanagar,3 BHK,Hentye ,1500,2,2,87,13.0027048,77.6346165
Built-up  Area,Ready To Move,JP Nagar,2 BHK,SMikaay,950,3,1,44,12.9096941,77.5866067
Super built-up  Area,18-Dec,Electronic City Phase II,5 BHK,Pehtsa ,5600,2,3,548.5,12.8463512,77.6690975
Built-up  Area,18-Jul,Kammasandra,2 BHK,Sryalan,1090,4,1,28.34,13.079198,77.7136366
Super built-up  Area,18-Apr,Green Garden Layout,2 BHK,Prony S,810,3,1,24.5,12.8727237,77.6451233
Super built-up  Area,Ready To Move,Hebbal,2 BHK,PaisePa,1045,2,2,45,13.0382184,77.5919
Super built-up  Area,18-Sep,Koramangala,2 BHK,Arcia S,1337,2,1,82,12.9357366,77.624081
Super built-up  Area,Ready To Move,Begur Road,3 BHK,TealeRo,1580,3,1,160,12.8856188,77.6252418
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Dhalsh ,1500,2,3,54,12.9963995,77.7614229
Super built-up  Area,18-Sep,Silver Springs Layout,3 BHK,Umods W,1640,2,2,91,12.9582324,77.7098778
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,SSarlPe,1570,2,2,62,12.8856635,77.5416809
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,MauilTr,1470,3,3,82,12.9136133,77.595695
Built-up  Area,Ready To Move,Dairy Circle,2 BHK,Brnia G,1050,2,0,71,12.9356855,77.6012737
Super built-up  Area,20-Jun,Bannerghatta Road,3 BHK,Soeurri,1855,2,1,225,12.9504037,77.6033713
Super built-up  Area,Ready To Move,Electronic City,3 BHK,SNity S,1460,2,2,90,12.8487599,77.648253
Super built-up  Area,Ready To Move,Budigere,2 BHK,Daives ,1094,3,2,42,13.1351506,77.7471989
Built-up  Area,Ready To Move,Jakkur,3 BHK,PNncysi,1325,2,0,57,13.0784743,77.6068938
Built-up  Area,Ready To Move,Narayana Nagar 1st Block,3 BHK,Socon Z,1590,2,2,125,12.9096941,77.5866067
Super built-up  Area,Ready To Move,KSRTC Layout,2 BHK,Krite D,1202,5,2,48,12.9128386,77.5934931
Super built-up  Area,Ready To Move,Panathur,2 BHK,Srisei ,1200,2,1,62.5,12.9351457,77.7047541
Super built-up  Area,18-Feb,Kaval Byrasandra,3 BHK,Prcesvy,1688,3,3,118,13.0200235,77.6092887
Built-up  Area,Ready To Move,Sarjapur,2 BHK,Soestrn,1020,2,0,52,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,Coa 3t ,1185,2,1,47,12.9558969,77.7405826
Super built-up  Area,17-Oct,Hosakerehalli,2 BHK,ViistLa,1235,2,1,52.04,12.9301881,77.5378332
Super built-up  Area,Ready To Move,Kengeri Satellite Town,4 BHK,Taonte ,3205,2,2,500,12.9229728,77.4842926
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,MB-laan,1415,5,1,66,12.9781922,77.7246451
Super built-up  Area,18-Apr,Whitefield,3 BHK,BrontLa,2330,4,1,162,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Whitefield,2 BHK,JahanSa,805,2,1,35,12.9963995,77.7614229
Super built-up  Area,Ready To Move,New Gurappana Palya,2 BHK,DNlleks,1155,4,0,59.95,12.9242342,77.6041393
Built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,Alncy R,1100,2,2,48,12.9708334,77.6951966
Super built-up  Area,Ready To Move,Palanahalli,2 BHK,RMcesa ,1468,3,2,140,13.1160811,77.6168047
Plot  Area,Ready To Move,Whitefield,4 BHK,RMaanSa,4300,2,2,550,12.9963995,77.7614229
Super built-up  Area,18-Dec,Hegde Nagar,3 BHK,Prtates,2280,2,2,126,13.0720352,77.6333905
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Soiniy ,1341,2,1,97,12.8463512,77.6690975
Super built-up  Area,18-Dec,Thanisandra,4 BHK,SNbay G,2225,1,1,98.88,13.054713,77.6339258
Super built-up  Area,Ready To Move,Kudlu,3 BHK,VMianri,1750,2,0,85,12.8889126,77.6555716
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,GKityel,1152,2,3,53.5,12.8773486,77.6028031
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Jaise P,1300,2,0,36,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Siayayo,1101,2,2,45,13.0176937,77.5555009
Super built-up  Area,Ready To Move,Electronic City,1 BHK,IBityin,667,2,1,36.85,12.8487599,77.648253
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,GMown E,1070,3,1,55,12.9572062,77.6741501
Built-up  Area,Ready To Move,Kundalahalli,3 BHK,Trnce A,1875,2,2,110,12.977594,77.7155586
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Dieldli,735,3,2,57.99,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Banashankari Stage VI,2 BHK,Prodsth,820,3,1,30,12.8849238,77.5154846
Super built-up  Area,20-Dec,Battarahalli,2 BHK,Brens7 ,1177.5,2,2,59.935,13.011473,77.7099343
Super built-up  Area,Ready To Move,HMT Layout,3 BHK,PaontWa,1779,2,2,89.61,13.03553,77.5027084
Built-up  Area,Ready To Move,Whitefield,2 BHK,HMRWAyo,1105,1,2,58,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,UKkente,1650,7,1,60,13.0394104,77.5197351
Super built-up  Area,Ready To Move,Hosakerehalli,2 BHK,Tahtsla,1694,3,1,150,12.9301881,77.5378332
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Taonte ,2376,2,0,203,13.079198,77.7136366
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Icingpy,674,3,3,33,12.9846713,77.6790908
Super built-up  Area,Ready To Move, Thanisandra,2 BHK,SLireap,1185,2,3,41,13.054713,77.6339258
Super built-up  Area,Ready To Move,Mylasandra,1 BHK,Bhmesy ,445,2,1,28,12.9081751,77.4928309
Built-up  Area,Ready To Move,Gottigere,6 BHK,VaitySe,900,2,1,76,12.8565317,77.5877237
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Sklls C,1618,2,2,82.5,12.9357366,77.624081
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Vaanda ,1120,2,2,65,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,Sutte C,2181,2,1,152,12.9504037,77.6033713
Super built-up  Area,18-Oct,Bannerghatta Road,3 BHK,DSnjh S,1556,2,1,59.13,12.9504037,77.6033713
Super built-up  Area,19-Feb,Thanisandra,2 BHK,Hiatei ,1179,3,3,66.02,13.054713,77.6339258
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Bhmesy ,1296,3,1,83,12.9846713,77.6790908
Built-up  Area,Ready To Move,Gottigere,2 BHK,VSomepi,1275,2,3,52,12.8565317,77.5877237
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Krryll ,1222,2,0,63,12.8487599,77.648253
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Palleon,940,2,2,41,13.054713,77.6339258
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,MenueNo,1185,3,2,42.6,13.0184718,77.5577542
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Soite E,1779,4,1,112,12.8856188,77.6252418
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Dhalsh ,1615,2,1,59.76,12.9096941,77.5866067
Super built-up  Area,18-Dec,Haralur Road,4 BHK,Pehtsa ,4624.5,2,1,453,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Arekere,2 BHK,Zostaa ,1056,2,2,61,12.8872086,77.5960493
Built-up  Area,Ready To Move,ITI Layout,2 BHK,Prdowth,920,1,1,40,13.004908,77.6046672
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,BMityre,1602,2,2,75,12.9047595,77.6759172
Super built-up  Area,18-Jul,Vittasandra,4 BHK,Rosha I,2119,3,1,111,12.8654221,77.6295788
Super built-up  Area,Ready To Move,Anandapura,2 BHK,Prlla C,1246,2,2,67.3,13.0239276,77.6923621
Super built-up  Area,17-Jul,Chandapura,2 BHK,ViensRK,1141,4,2,42.79,12.8009043,77.7114908
Super built-up  Area,18-Aug,Yelahanka New Town,2 BHK,SuVue S,1025,4,0,27.68,13.0978039,77.5811889
Built-up  Area,Ready To Move,Hebbal,1 BHK,KHatsFl,650,3,2,33,13.0382184,77.5919
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,Prersis,1349,3,2,98,13.0716969,77.6193949
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,Veodsar,1566,1,1,83.3,13.0621474,77.5800614
Super built-up  Area,Ready To Move,Varthur,4 BHK,OsrdsOr,2830,2,2,195,12.9406508,77.746988
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Hirio L,1091,2,2,34.9,13.0588586,77.6232576
Super built-up  Area,Ready To Move,Yeshwanthpur,4 BHK,Leino C,3670,2,1,300,13.0176937,77.5555009
Super built-up  Area,20-Dec,Yelahanka,4 BHK,Detat H,1950,2,1,130,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Kalyan nagar,3 BHK,Shana S,1705,2,2,95,13.0221416,77.6403368
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Disical,1375,2,1,75,12.8856913,77.5526564
Super built-up  Area,21-Oct,Thanisandra,1 BHK,PrarePa,525,2,1,30,13.054713,77.6339258
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SLaceda,1114,3,0,39,12.9136133,77.595695
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Brsiaen,1450,3,1,100,13.0382184,77.5919
Built-up  Area,Ready To Move,Electronic City,2 BHK,Ratlet ,1000,2,1,45,12.8487599,77.648253
